tj_id,c,1b,2b,ss,3b,of,util,sp,rp
marcussemien,False,False,True,False,False,False,True,False,False
andypages,False,False,False,False,False,True,True,False,False
robertsuarez,False,False,False,False,False,False,False,False,True
isaacparedes,False,False,False,False,True,False,True,False,False
shotaimanaga,False,False,False,False,False,False,False,True,False
jacksonholliday,False,False,True,False,False,False,True,False,False
gavinwilliams,False,False,False,False,False,False,False,True,False
coreyseager,False,False,False,True,False,False,True,False,False
bryanabreu,False,False,False,False,False,False,False,False,True
abneruribe,False,False,False,False,False,False,False,False,True
michaelking,False,False,False,False,False,False,False,True,False
byronbuxton,False,False,False,False,False,True,True,False,False
agustinramirez,True,False,False,False,False,False,True,False,False
ryanwalker,False,False,False,False,False,False,False,False,True
jacobmisiorowski,False,False,False,False,False,False,False,True,False
willyadames,False,False,False,True,False,False,True,False,False
brysonstott,False,False,True,False,False,False,True,False,False
jordanwestburg,False,False,False,False,True,False,True,False,False
willvest,False,False,False,False,False,False,False,False,True
yandydiaz,False,True,False,False,False,False,True,False,False
emmetsheehan,False,False,False,False,False,False,False,True,False
bryanreynolds,False,False,False,False,False,True,True,False,False
nicklodolo,False,False,False,False,False,False,False,True,False
edwinuceta,False,False,False,False,False,False,False,False,True
michaelharrisii,False,False,False,False,False,True,True,False,False
zacgallen,False,False,False,False,False,False,False,True,False
christianwalker,False,True,False,False,False,False,True,False,False
oneilcruz,False,False,False,False,False,True,True,False,False
calebdurbin,False,False,False,False,True,False,True,False,False
chaseburns,False,False,False,False,False,False,False,True,False
brendandonovan,False,False,True,False,False,False,True,False,False
camschlittler,False,False,False,False,False,False,False,True,False
jeremypena,False,False,False,True,False,False,True,False,False
rangersuarez,False,False,False,False,False,False,False,True,False
joadell,False,False,False,False,False,True,True,False,False
jackflaherty,False,False,False,False,False,False,False,True,False
huntergoodman,True,False,False,False,False,False,True,False,False
shanebieber,False,False,False,False,False,False,False,True,False
salfrelick,False,False,False,False,False,True,True,False,False
granttaylor,False,False,False,False,False,False,False,False,True
jacobwilson,False,False,False,True,False,False,True,False,False
mackenziegore,False,False,False,False,False,False,False,True,False
matthewboyd,False,False,False,False,False,False,False,True,False
robbieray,False,False,False,False,False,False,False,True,False
andrewabbott,False,False,False,False,False,False,False,True,False
jeremiahestrada,False,False,False,False,False,False,False,False,True
alecbohm,False,False,False,False,True,False,True,False,False
cjabrams,False,False,False,True,False,False,True,False,False
tatsuyaimai,False,False,False,False,False,False,False,True,False
luisgarciajr,False,False,True,False,False,False,True,False,False
lukekeaschall,False,False,True,False,False,False,True,False,False
tannerscott,False,False,False,False,False,False,False,False,True
dennissantana,False,False,False,False,False,False,False,False,True
sandyalcantara,False,False,False,False,False,False,False,True,False
nolanmclean,False,False,False,False,False,False,False,True,False
mattbrash,False,False,False,False,False,False,False,False,True
roycelewis,False,False,False,False,True,False,True,False,False
aaronnola,False,False,False,False,False,False,False,True,False
brandonlowe,False,False,True,False,False,False,True,False,False
drewrasmussen,False,False,False,False,False,False,False,True,False
chandlersimpson,False,False,False,False,False,True,True,False,False
maxmuncy,False,False,False,False,True,False,True,False,False
trevorrogers,False,False,False,False,False,False,False,True,False
