,name,name_ascii,fg_id,mlb_id,espn_id,tj_id
89,Marcell Ozuna,Marcell Ozuna,10324,542303,31668,marcellozuna
90,Mark Canha,Mark Canha,11445,592192,31670,markcanha
91,José Cisnero,Jose Cisnero,6399,542585,31673,josecisnero
92,Jorge Alfaro,Jorge Alfaro,12180,595751,31737,jorgealfaro
93,Luke Jackson,Luke Jackson,11752,592426,31749,lukejackson
94,Liam Hendriks,Liam Hendriks,3548,521230,31755,liamhendriks
95,Christian Bethancourt,Christian Bethancourt,10028,542194,31758,christianbethancourt
96,Dallas Keuchel,Dallas Keuchel,9434,572971,31815,dallaskeuchel
97,Drew Smyly,Drew Smyly,11760,592767,31816,drewsmyly
98,Ben Gamel,Ben Gamel,12160,592325,31824,bengamel
99,Rafael Ortega,Rafael Ortega,10323,542364,31833,rafaelortega
100,Taijuan Walker,Taijuan Walker,11836,592836,31864,taijuanwalker
101,Tommy Kahnle,Tommy Kahnle,11384,592454,31867,tommykahnle
102,Max Kepler,Max Kepler,12144,596146,31870,maxkepler
103,Wilking Rodriguez,Wilking Rodriguez,8801,,31939,wilkingrodriguez
104,Eddie Rosario,Eddie Rosario,12155,592696,31944,eddierosario
105,James Paxton,James Paxton,11828,572020,31980,jamespaxton
106,Erasmo Ramírez,Erasmo Ramirez,10314,541640,31983,erasmoramirez
107,Joe Kelly,Joe Kelly,9761,523260,31992,joekelly
108,Brooks Raley,Brooks Raley,10061,548384,32005,brooksraley
109,James McCann,James McCann,12859,543510,32046,jamesmccann
110,Curt Casali,Curt Casali,12510,592200,32049,curtcasali
111,Yu Darvish,Yu Darvish,13074,506433,32055,yudarvish
112,George Springer,George Springer,12856,543807,32078,georgespringer
113,Gerrit Cole,Gerrit Cole,13125,543037,32081,gerritcole
114,Sonny Gray,Sonny Gray,12768,543243,32082,sonnygray
115,Anthony Rendon,Anthony Rendon,12861,543685,32098,anthonyrendon
116,Sandy León,Sandy Leon,5273,506702,32101,sandyleon
117,Jose Quintana,Jose Quintana,11423,500779,32106,josequintana
118,Yan Gomes,Yan Gomes,9627,543228,32108,yangomes
119,Miles Mikolas,Miles Mikolas,9803,571945,32116,milesmikolas
120,Javier Báez,Javier Baez,12979,595879,32127,javierbaez
121,Francisco Lindor,Francisco Lindor,12916,596019,32129,franciscolindor
