tj_id,fp_atc,fp_alt,alt-atc,fp_avg,fp_e,atc-e,total_25
mickeymoniak,386.02536000000003,387.57627,1.5509099999999876,386.80081500000006,343.0,43.025360000000035,397.0
jacobwilson,399.77297999999996,370.52113999999995,-29.251840000000016,385.14705999999995,414.0,-14.227020000000039,385.0
noelvimarte,383.75822,385.6202,1.8619800000000168,384.68921,437.0,-53.241780000000006,287.0
joshbell,381.108578,388.21369400000003,7.1051160000000095,384.66113600000006,389.0,-7.891421999999977,374.0
emmetsheehan,374.79255,394.0,19.207449999999994,384.396275,350.0,24.792550000000006,236.2
larsnootbaar,376.29483999999997,391.80509,15.510250000000042,384.049965,374.0,2.294839999999965,378.0
jackleiter,377.18881999999996,390.5,13.311180000000036,383.84441,385.5,-8.311180000000036,386.8
rynenelson,360.3297600000001,405.5,45.17023999999992,382.91488000000004,283.5,76.82976000000008,377.5
daylenlile,392.68216,373.05942000000005,-19.622739999999965,382.87079000000006,432.0,-39.31783999999999,293.0
jacobmisiorowski,375.89874,389.0,13.101260000000025,382.44937,386.0,-10.101260000000025,194.5
tjfriedl,393.85276,370.97081000000003,-22.88194999999996,382.411785,459.0,-65.14724000000001,475.0
tylerglasnow,362.51984999999996,400.5,37.98015000000004,381.50992499999995,363.5,-0.9801500000000374,243.7
luisseverino,364.50840000000005,396.0,31.49159999999995,380.2542,357.0,7.5084000000000515,333.3
junghoolee,382.17925,378.16281,-4.0164400000000455,380.17103,408.0,-25.820749999999975,429.0
colsonmontgomery,381.21473999999995,378.02146999999997,-3.193269999999984,379.61810499999996,373.0,8.21473999999995,260.0
jorgepolanco,385.693394,373.11223,-12.581164000000001,379.40281200000004,415.0,-29.306605999999988,432.0
andrewvaughn,369.45695100000006,389.081716,19.62476499999991,379.2693335,416.0,-46.54304899999994,301.0
kenleyjansen,389.28718,367.5,-21.787179999999978,378.39359,450.5,-61.21282000000002,469.5
calebdurbin,389.25741999999997,367.49106,-21.766359999999963,378.37424,400.0,-10.742580000000032,375.0
jpcrawford,382.65973299999996,372.18656,-10.473172999999974,377.4231465,442.0,-59.34026700000004,431.0
carloscorrea,382.772519,369.38277,-13.389748999999995,376.0776445,384.0,-1.2274810000000116,377.0
nolanarenado,376.78763000000004,373.41346300000004,-3.374167,375.10054650000006,357.0,19.787630000000036,288.0
shanesmith,369.949705,379.0,9.050295000000006,374.4748525,385.5,-15.550295000000006,352.2
luisarraez,385.83736,362.85112000000004,-22.986239999999952,374.34424,426.0,-40.16264000000001,428.0
kerrycarpenter,375.4610799999999,372.95894,-2.5021399999999403,374.21000999999995,407.0,-31.538920000000076,370.0
