tjid,fgId,NameASCII,org,pos,age,jersey
gleybertorres,16997,Gleyber Torres,DET,2B,29,25
romananthony,31812,Roman Anthony,BOS,OF,22,19
bobichette,19612,Bo Bichette,NYM,SS,28,19
pablolopez,17085,Pablo Lopez,MIN,SP,30,49
maikelgarcia,22715,Maikel Garcia,KCR,3B,26,11
emiliopagan,14771,Emilio Pagan,CIN,RP,35,15
mattchapman,16505,Matt Chapman,SFG,3B,33,26
joshnaylor,18839,Josh Naylor,SEA,1B,29,12
danielpalencia,27914,Daniel Palencia,CHC,RP,26,48
juricksonprofar,10815,Jurickson Profar,ATL,OF,33,17
vinniepasquantino,27676,Vinnie Pasquantino,KCR,1B,28,9
adleyrutschman,26288,Adley Rutschman,BAL,C,28,35
salvadorperez,7304,Salvador Perez,KCR,C,36,13
euryperez,27768,Eury Perez,MIA,SP,23,39
tannerbibee,30134,Tanner Bibee,CLE,SP,27,28
eugeniosuarez,12552,Eugenio Suarez,CIN,3B,34,28
teoscarhernandez,13066,Teoscar Hernandez,LAD,OF,33,37
yainerdiaz,23003,Yainer Diaz,HOU,C,27,21
griffinjax,20253,Griffin Jax,TBR,RP,31,22
marcussemien,12533,Marcus Semien,NYM,2B,35,10
andypages,24816,Andy Pages,LAD,OF,25,44
robertsuarez,30115,Robert Suarez,ATL,RP,35,75
isaacparedes,20036,Isaac Paredes,HOU,3B,27,15
shotaimanaga,33829,Shota Imanaga,CHC,SP,32,18
jacksonholliday,31781,Jackson Holliday,BAL,2B,22,7
gavinwilliams,30122,Gavin Williams,CLE,SP,26,32
coreyseager,13624,Corey Seager,TEX,SS,32,5
bryanabreu,16609,Bryan Abreu,HOU,RP,29,52
abneruribe,25327,Abner Uribe,MIL,RP,26,45
michaelking,19853,Michael King,SDP,SP,31,34
byronbuxton,14161,Byron Buxton,MIN,OF,32,25
agustinramirez,26546,Agustin Ramirez,MIA,C,24,50
ryanwalker,20423,Ryan Walker,SFG,RP,30,74
jacobmisiorowski,31623,Jacob Misiorowski,MIL,SP,24,32
willyadames,15986,Willy Adames,SFG,SS,30,2
brysonstott,26294,Bryson Stott,PHI,2B,28,5
jordanwestburg,27815,Jordan Westburg,BAL,3B,27,11
willvest,19769,Will Vest,DET,RP,31,19
yandydiaz,16578,Yandy Diaz,TBR,DH,34,2
emmetsheehan,29839,Emmet Sheehan,LAD,SP,26,80
bryanreynolds,19326,Bryan Reynolds,PIT,OF,31,10
nicklodolo,26378,Nick Lodolo,CIN,SP,28,40
