tjid,fgId,NameASCII,org,pos,age,jersey
anthonyvolpe,27647,Anthony Volpe,NYY,SS,25,11
jacoblopez,25098,Jacob Lopez,ATH,SP,28,57
ryanyarbrough,16502,Ryan Yarbrough,NYY,RP,34,33
victorscottii,31349,Victor Scott II,STL,OF,25,11
keibertruiz,19610,Keibert Ruiz,WSN,C,27,20
colinrea,12317,Colin Rea,CHC,SP,35,53
maxmuncy1,29779,Max Muncy,ATH,3B,23,10
zebbymatthews,31827,Zebby Matthews,MIN,SP,26,52
reiddetmers,27468,Reid Detmers,LAA,RP,26,48
hobymilner,13346,Hoby Milner,CHC,RP,35,41
bennettsousa,21345,Bennett Sousa,HOU,RP,31,62
tommynance,19178,Tommy Nance,TOR,RP,35,45
amedrosario,15518,Amed Rosario,NYY,3B,30,14
victorrobles,18363,Victor Robles,SEA,OF,29,10
reynaldolopez,16400,Reynaldo Lopez,ATL,SP,32,40
pjpoulin,23394,P.J. Poulin,WSN,RP,29,50
tyleralexander,17735,Tyler Alexander,TEX,RP,31,13
haydenbirdsong,31635,Hayden Birdsong,SFG,RP,24,60
jakemangum,26202,Jake Mangum,PIT,OF,30,28
nickmears,25376,Nick Mears,KCR,RP,29,31
nickmartinez,12730,Nick Martinez,FA,SP,35,28
nickgonzales,27490,Nick Gonzales,PIT,2B,27,3
bencasparius,30085,Ben Casparius,LAD,RP,27,78
edgarquero,28022,Edgar Quero,CHW,C,23,7
angelzerpa,22717,Angel Zerpa,MIL,RP,26,61
michaelkopech,17282,Michael Kopech,FA,RP,30,45
lourdesgurrieljr,19238,Lourdes Gurriel Jr.,ARI,OF,32,12
kristiancampbell,33644,Kristian Campbell,BOS,2B,24,28
justinlawrence,17639,Justin Lawrence,PIT,RP,31,61
carterjensen,29478,Carter Jensen,KCR,C,22,22
tobiasmyers,22191,Tobias Myers,NYM,RP,27,32
salstewart,31505,Sal Stewart,CIN,1B,22,27
mauriciodubon,16530,Mauricio Dubon,ATL,OF,31,14
jakeburger,22275,Jake Burger,TEX,1B,30,21
edgardohenriquez,26944,Edgardo Henriquez,LAD,RP,24,60
calebferguson,19349,Caleb Ferguson,CIN,RP,29,46
dannycoulombe,13293,Danny Coulombe,FA,RP,36,54
nathanlukes,18123,Nathan Lukes,TOR,OF,31,38
timherrin,25139,Tim Herrin,CLE,RP,29,29
colehenry,27570,Cole Henry,WSN,RP,26,99
branthurter,30133,Brant Hurter,DET,RP,27,48
maxkepler,12144,Max Kepler,FA,OF,33,17
tajbradley,22543,Taj Bradley,MIN,SP,25,26
loganohoppe,24729,Logan O'Hoppe,LAA,C,26,14
aaronbummer,16258,Aaron Bummer,ATL,RP,32,49
yoendrysgomez,22872,Yoendrys Gomez,TBR,RP,26,94
jakobjunis,13619,Jakob Junis,TEX,RP,33,16
johanoviedo,22487,Johan Oviedo,BOS,SP,28,29
joshbell,13145,Josh Bell,MIN,DH,33,56
juanmejia,23237,Juan Mejia,COL,RP,25,47
yoanmoncada,17232,Yoan Moncada,LAA,3B,31,10
tommykahnle,11384,Tommy Kahnle,FA,RP,36,43
tristoncasas,22514,Triston Casas,BOS,1B,26,36
tannerbanks,16990,Tanner Banks,PHI,RP,34,58
michaelsoroka,18383,Michael Soroka,ARI,SP,28,34
bonaylor,21865,Bo Naylor,CLE,C,26,23
justinwilson,4301,Justin Wilson,FA,RP,38,32
jordanwalker,27475,Jordan Walker,STL,OF,24,18
huascarbrazoban,6107,Huascar Brazoban,NYM,RP,36,43
joelpeguero,21951,Joel Peguero,SFG,RP,29,63
michaelkelly,12791,Michael Kelly,ATH,RP,33,49
lanethomas,16939,Lane Thomas,KCR,OF,30,15
davidmorgan,31616,David Morgan,SDP,RP,26,66
tylerwells,20000,Tyler Wells,BAL,SP,31,68
mikevasil,30105,Mike Vasil,CHW,RP,26,61
kadestrowd,26191,Kade Strowd,ARI,RP,28,57
dlhall,22207,DL Hall,MIL,RP,27,37
cadecavalli,27473,Cade Cavalli,WSN,SP,27,24
brayanrocchio,23690,Brayan Rocchio,CLE,SS,25,4
gavinlux,19955,Gavin Lux,TBR,DH,28,11
cristianjavier,17606,Cristian Javier,HOU,SP,29,53
paulsewald,13892,Paul Sewald,FA,RP,36,62
michaelmassey,27684,Michael Massey,KCR,2B,28,19
brockburke,17968,Brock Burke,CIN,RP,29,49
luismatos,26467,Luis Matos,SFG,OF,24,29
brandoneisert,27668,Brandon Eisert,CHW,RP,28,53
landenroupp,30076,Landen Roupp,SFG,SP,27,65
colewinn,22113,Cole Winn,TEX,RP,26,60
ianhamilton,19261,Ian Hamilton,ATL,RP,31,71
colinselby,24986,Colin Selby,BAL,RP,28,60
scottbarlow,14993,Scott Barlow,FA,RP,33,58
anthonybanda,14706,Anthony Banda,LAD,RP,32,43
sladececconi,27500,Slade Cecconi,CLE,SP,27,44
masonenglert,22288,Mason Englert,TBR,RP,26,59
ryanfernandez,24862,Ryan Fernandez,STL,RP,28,64
cadegibson,31815,Cade Gibson,MIA,RP,28,58
austinmartin,27462,Austin Martin,MIN,OF,27,16
maxmeyer,27474,Max Meyer,MIA,SP,27,23
joelpayamps,14332,Joel Payamps,ATL,RP,32,53
evansisk,24995,Evan Sisk,PIT,RP,29,48
grahampauley,31363,Graham Pauley,MIA,3B,25,21
colesulser,15256,Cole Sulser,TBR,RP,36,71
grantanderson,20546,Grant Anderson,MIL,RP,29,56
jjbleday,26368,JJ Bleday,CIN,OF,28,22
dillondingler,27464,Dillon Dingler,DET,C,27,13
taylorrogers,13449,Taylor Rogers,MIN,RP,35,55
blazealexander,23789,Blaze Alexander,BAL,3B,27,9
mattgage,17381,Matt Gage,SFG,RP,33,93
seanmurphy,19352,Sean Murphy,ATL,C,31,12
davisschneider,23565,Davis Schneider,TOR,OF,27,36
chasesilseth,30074,Chase Silseth,LAA,RP,26,63
tylerphillips,20629,Tyler Phillips,MIA,RP,28,30
matthewliberatore,22294,Matthew Liberatore,STL,SP,26,32
alekthomas,23792,Alek Thomas,ARI,OF,26,5
wandyperalta,14295,Wandy Peralta,SDP,RP,34,58
ronnymauricio,23698,Ronny Mauricio,NYM,3B,25,0
spencerbivens,30226,Spencer Bivens,SFG,RP,32,76
jacobwebb,19274,Jacob Webb,CHC,RP,32,71
carlosnarvaez,19722,Carlos Narvaez,BOS,C,27,75
jakebird,21267,Jake Bird,NYY,RP,30,59
cadepovich,30055,Cade Povich,BAL,SP,26,37
wikelmangonzalez,26641,Wikelman Gonzalez,CHW,RP,24,66
ryanbrasier,5615,Ryan Brasier,FA,RP,38,54
hunterbigge,26259,Hunter Bigge,TBR,RP,28,43
corbinburnes,19361,Corbin Burnes,ARI,SP,31,39
heribertohernandez,24878,Heriberto Hernandez,MIA,OF,26,13
daniellynchiv,21537,Daniel Lynch IV,KCR,RP,29,41
dreyjameson,26260,Drey Jameson,ARI,RP,28,99
brentsuter,13942,Brent Suter,LAA,RP,36,31
tylerferguson,19481,Tyler Ferguson,ATH,RP,32,44
javiersanoja,28253,Javier Sanoja,MIA,OF,23,8
sawyergipsonlong,26048,Sawyer Gipson-Long,DET,SP,28,66
alexlange,19883,Alex Lange,KCR,RP,30,56
dannyjansen,16535,Danny Jansen,TEX,C,31,33
andrewchafin,12988,Andrew Chafin,FA,RP,36,39
luisgarcia,6984,Luis Garcia,NYM,RP,39,66
victorcaratini,14968,Victor Caratini,MIN,C,32,37
dietrichenns,13932,Dietrich Enns,BAL,RP,35,71
grantholmes,16944,Grant Holmes,ATL,SP,30,66
kylehart,19646,Kyle Hart,SDP,RP,33,68
ottokemp,31792,Otto Kemp,PHI,3B,26,4
joeywentz,19962,Joey Wentz,ATL,RP,28,33
kodyclemens,20572,Kody Clemens,MIN,1B,30,2
hurstonwaldrep,33527,Hurston Waldrep,ATL,SP,24,64
brooksbaldwin,31394,Brooks Baldwin,CHW,OF,25,27
luiscurvelo,24710,Luis Curvelo,TEX,RP,25,57
yukimatsui,33826,Yuki Matsui,SDP,RP,30,1
carlosvargas,22915,Carlos Vargas,SEA,RP,26,54
justinverlander,8700,Justin Verlander,FA,SP,43,35
freddyfermin,21840,Freddy Fermin,SDP,C,31,54
enyeldelossantos,18403,Enyel De Los Santos,HOU,RP,30,65
ericorze,27626,Eric Orze,MIN,RP,28,19
owencaissie,27496,Owen Caissie,MIA,OF,23,17
adaelamador,27962,Adael Amador,COL,2B,23,1
jordanwicks,30094,Jordan Wicks,CHC,RP,26,36
daurimoreta,21101,Dauri Moreta,FA,RP,30,36
jadenhill,30250,Jaden Hill,COL,RP,26,0
juanmorillo,21924,Juan Morillo,ARI,RP,27,67
seanburke,29878,Sean Burke,CHW,SP,26,59
bryceeldridge,33390,Bryce Eldridge,SFG,DH,21,8
jakemccarthy,21622,Jake McCarthy,COL,OF,28,31
timhill,16814,Tim Hill,NYY,RP,36,41
rynestanek,15947,Ryne Stanek,STL,RP,34,55
robertgasser,29812,Robert Gasser,MIL,SP,27,54
ricogarcia,20023,Rico Garcia,BAL,RP,32,50
spencerarrighetti,29921,Spencer Arrighetti,HOU,SP,26,41
denzelclarke,29858,Denzel Clarke,ATH,OF,26,1
piersonohl,30179,Pierson Ohl,COL,RP,26,62
luismorales,32227,Luis Morales,ATH,SP,23,58
lakebachar,19222,Lake Bachar,MIA,RP,31,84
joshsmith,26396,Josh Smith,TEX,SS,28,8
paulblackburn,14739,Paul Blackburn,NYY,RP,32,58
kalebort,20061,Kaleb Ort,LAA,RP,34,63
jaredtriolo,25807,Jared Triolo,PIT,SS,28,19
joseleclerc,14524,Jose Leclerc,FA,RP,32,37
patrickbailey,27478,Patrick Bailey,SFG,C,27,14
konnorpilkington,21453,Konnor Pilkington,WSN,RP,28,45
davidfesta,30056,David Festa,MIN,SP,26,58
christophermorel,21897,Christopher Morel,MIA,OF,27,5
jeremiahjackson,22239,Jeremiah Jackson,BAL,OF,26,82
jalenbeeks,17192,Jalen Beeks,FA,RP,32,68
osvaldobido,23150,Osvaldo Bido,NYY,RP,30,56
liamhicks,29844,Liam Hicks,MIA,C,27,34
jonathanbowlan,24607,Jonathan Bowlan,PHI,RP,29,52
kyleharrison,27758,Kyle Harrison,BOS,SP,24,38
tylergilbert,17964,Tyler Gilbert,CHW,RP,32,40
jpsears,23429,JP Sears,SDP,SP,30,38
jacobmelton,31661,Jacob Melton,TBR,OF,25,29
stevencruz,23165,Steven Cruz,KCR,RP,27,64
nathaniellowe,19566,Nathaniel Lowe,FA,1B,30,37
alexfreeland,31665,Alex Freeland,LAD,3B,24,76
jacksonrutledge,26215,Jackson Rutledge,WSN,RP,27,44
hyeseongkim,35322,Hyeseong Kim,LAD,2B,27,6
jhostynxongarcia,28142,Jhostynxon Garcia,PIT,OF,23,34
maxlazar,23426,Max Lazar,PHI,RP,27,60
carsonwilliams,30038,Carson Williams,TBR,SS,23,7
masonfluharty,31553,Mason Fluharty,TOR,RP,24,68
jocpederson,11899,Joc Pederson,TEX,DH,34,4
maxscherzer,3137,Max Scherzer,FA,SP,41,31
zachcole,31583,Zach Cole,HOU,OF,25,16
josesuarez,19911,Jose Suarez,ATL,SP,28,54
chadgreen,15552,Chad Green,TOR,RP,35,57
oswaldperaza,22823,Oswald Peraza,LAA,3B,26,10
coopercriswell,24975,Cooper Criswell,SEA,SP,29,18
evanphillips,17734,Evan Phillips,FA,RP,31,59
michaelconforto,16376,Michael Conforto,FA,OF,33,23
jtginn,27889,J.T. Ginn,ATH,SP,27,35
adrianhouser,12718,Adrian Houser,SFG,SP,33,12
brenanhanifee,22304,Brenan Hanifee,DET,RP,28,75
richiepalacios,24589,Richie Palacios,TBR,OF,29,1
zackkelly,20349,Zack Kelly,BOS,RP,31,76
julianfernandez,18341,Julian Fernandez,WSN,RP,30,65
zacharymaxwell,31610,Zachary Maxwell,CIN,RP,25,78
jonahheim,16930,Jonah Heim,FA,C,31,28
kevinkelly,25679,Kevin Kelly,TBR,RP,28,49
rhyshoskins,16472,Rhys Hoskins,FA,1B,33,12
taylorclarke,17611,Taylor Clarke,ARI,RP,33,45
tommypham,2967,Tommy Pham,FA,OF,38,28
mickabel,27756,Mick Abel,MIN,SP,24,20
luinderavila,24452,Luinder Avila,KCR,RP,24,58
angelmartinez,26540,Angel Martinez,CLE,OF,24,1
ramonurias,18795,Ramon Urias,FA,3B,32,29
lukejackson,11752,Luke Jackson,FA,RP,34,77
caseylegumina,25921,Casey Legumina,SEA,RP,29,64
eduardorodriguez,13164,Eduardo Rodriguez,ARI,SP,33,57
kylenicolas,27775,Kyle Nicolas,PIT,RP,27,66
ryanpressly,7005,Ryan Pressly,FA,RP,37,55
zackgelof,29766,Zack Gelof,ATH,2B,26,20
natepearson,20160,Nate Pearson,HOU,RP,29,55
carsonwhisenhunt,31676,Carson Whisenhunt,SFG,SP,25,88
griffinconine,21626,Griffin Conine,MIA,OF,28,18
gregorysantos,21894,Gregory Santos,SFG,RP,26,48
bradybasso,25582,Brady Basso,ATH,RP,28,66
josecastillo,17169,Jose Castillo,FA,RP,30,66
rafaelmontero,12760,Rafael Montero,FA,RP,35,99
nicksandlin,20517,Nick Sandlin,LAA,RP,29,52
ryanborucki,16350,Ryan Borucki,CHW,RP,32,43
dominichamel,30153,Dominic Hamel,NYY,RP,27,53
oswaldocabrera,21707,Oswaldo Cabrera,NYY,3B,27,95
hunterbarco,33174,Hunter Barco,PIT,SP,25,45
josefermin1,33908,Jose Fermin,LAA,RP,24,68
yohanramirez,19444,Yohan Ramirez,PIT,RP,31,49
chrismurphy,26214,Chris Murphy,CHW,RP,28,72
miguelamaya,21693,Miguel Amaya,CHC,C,27,9
bradgleyrodriguez,29107,Bradgley Rodriguez,SDP,RP,22,72
kyleisbel,21614,Kyle Isbel,KCR,OF,29,28
bryanhudson,19924,Bryan Hudson,CHW,RP,29,60
brandonsproat,33850,Brandon Sproat,MIL,SP,25,23
zacveen,27770,Zac Veen,COL,OF,24,13
jacobyoung,29931,Jacob Young,WSN,OF,26,30
brentheadrick,27702,Brent Headrick,NYY,RP,28,47
beaubrieske,26079,Beau Brieske,DET,RP,28,4
thairoestrada,16426,Thairo Estrada,FA,2B,30,39
benwilliamson,33197,Ben Williamson,TBR,3B,25,9
trevormcdonald,26448,Trevor McDonald,SFG,SP,25,72
stevenwilson,20353,Steven Wilson,TBR,RP,31,24
brennanbernardino,16835,Brennan Bernardino,COL,RP,34,83
keatonwinn,23499,Keaton Winn,SFG,RP,28,67
jordanhicks,19618,Jordan Hicks,CHW,RP,29,46
michelotanez,22533,Michel Otanez,TEX,RP,28,47
tristanbeck,21584,Tristan Beck,SFG,RP,30,43
paulgoldschmidt,9218,Paul Goldschmidt,FA,1B,38,48
danielschneemann,25180,Daniel Schneemann,CLE,2B,29,10
daltonrushing,31382,Dalton Rushing,LAD,C,25,68
kumarrocker,31843,Kumar Rocker,TEX,SP,26,80
felixbautista,20666,Felix Bautista,BAL,RP,31,74
roberthasselliii,27482,Robert Hassell III,WSN,OF,24,6
pavinsmith,19892,Pavin Smith,ARI,DH,30,26
daysbelhernandez,20271,Daysbel Hernandez,ATL,RP,29,62
joeboyle,29608,Joe Boyle,TBR,SP,26,36
jtbrubaker,17578,JT Brubaker,SFG,RP,32,34
mattvierling,21558,Matt Vierling,DET,OF,29,8
garrettmitchell,27555,Garrett Mitchell,MIL,OF,27,5
trentthornton,17948,Trent Thornton,FA,RP,32,46
moisesballesteros,28820,Moises Ballesteros,CHC,DH,22,25
thomassaggese,27883,Thomas Saggese,STL,2B,24,25
edmundososa,17022,Edmundo Sosa,PHI,2B,30,33
travisadams,30180,Travis Adams,MIN,RP,26,45
codiheuer,23293,Codi Heuer,CLE,RP,29,50
georgevalera,22541,George Valera,CLE,DH,25,7
pauldejong,18015,Paul DeJong,NYY,3B,32,18
adamfrazier,15223,Adam Frazier,FA,2B,34,26
shawndubin,24977,Shawn Dubin,ARI,RP,30,65
colinholderman,22361,Colin Holderman,CLE,RP,30,35
sammoll,14874,Sam Moll,CIN,RP,34,50
gordongraceffo,29519,Gordon Graceffo,STL,RP,26,44
javierbaez,12979,Javier Baez,DET,SS,33,28
yerrydelossantos,21420,Yerry De los Santos,NYY,RP,28,73
aaroncivale,19479,Aaron Civale,FA,SP,31,38
chaseshugart,21544,Chase Shugart,PHI,RP,29,55
codylaweryson,26429,Cody Laweryson,FA,RP,28,66
jorgealcala,19459,Jorge Alcala,TOR,RP,30,56
dylandodd,29928,Dylan Dodd,ATL,RP,28,46
dylanmoore,18042,Dylan Moore,PHI,2B,33,25
kylebackhus,29615,Kyle Backhus,PHI,RP,28,43
zachagnos,31552,Zach Agnos,COL,RP,25,36
johnrooney,24590,John Rooney,TBR,RP,29,67
connorbrogdon,21205,Connor Brogdon,CLE,RP,31,75
davidfry,24934,David Fry,CLE,DH,30,6
harryford,29958,Harry Ford,WSN,C,23,17
andrewalvarez,29914,Andrew Alvarez,WSN,SP,27,54
ryanmountcastle,18373,Ryan Mountcastle,BAL,1B,29,6
valentebellozo,23899,Valente Bellozo,COL,RP,26,83
luismey,25620,Luis Mey,CIN,RP,25,47
jakefraley,19260,Jake Fraley,TBR,OF,31,17
ronmarinaccio,23488,Ron Marinaccio,SDP,RP,30,97
richardfitts,30160,Richard Fitts,STL,SP,26,35
timmayza,15042,Tim Mayza,PHI,RP,34,54
lukelittle,28036,Luke Little,CHC,RP,25,43
jonathanloaisiga,19753,Jonathan Loaisiga,ARI,RP,31,43
joshsimpson,25957,Josh Simpson,MIA,RP,28,66
drewgilbert,31545,Drew Gilbert,SFG,OF,25,1
maximoacosta,27963,Maximo Acosta,MIA,3B,23,24
ryangusto,26440,Ryan Gusto,MIA,SP,27,65
brockstewart,16727,Brock Stewart,LAD,RP,34,41
richardlovelady,19337,Richard Lovelady,WSN,RP,30,74
loganallen1,27589,Logan Allen,CLE,SP,27,26
chrisroycroft,31261,Chris Roycroft,STL,RP,29,58
yaramilhiraldo,25215,Yaramil Hiraldo,BAL,RP,30,76
pedropages,25782,Pedro Pages,STL,C,27,43
jonathanpintaro,33980,Jonathan Pintaro,NYM,SP,28,91
joshwinckowski,22387,Josh Winckowski,FA,RP,28,25
davismartin,21448,Davis Martin,CHW,SP,29,65
romygonzalez,21562,Romy Gonzalez,BOS,1B,29,23
jovanimoran,20422,Jovani Moran,BOS,RP,29,47
loutrivino,15043,Lou Trivino,FA,RP,34,57
nickyorke,27504,Nick Yorke,PIT,2B,24,38
kaiweiteng,24282,Kai-Wei Teng,HOU,SP,27,66
craigkimbrel,6655,Craig Kimbrel,NYM,RP,38,46
reiversanmartin,19754,Reiver Sanmartin,SFG,RP,30,48
philipabner,33821,Philip Abner,ARI,RP,24,50
nachoalvarezjr,31765,Nacho Alvarez Jr.,ATL,3B,23,24
sethjohnson,26020,Seth Johnson,PHI,RP,27,51
kylehigashioka,5517,Kyle Higashioka,TEX,C,36,11
haydenharris,31913,Hayden Harris,ATL,RP,27,79
lazaroestrada,24914,Lazaro Estrada,TOR,SP,27,60
bricematthews,33280,Brice Matthews,HOU,2B,24,28
elimorgan,20203,Eli Morgan,FA,RP,30,33
justinmartinez,24453,Justin Martinez,ARI,RP,24,63
ryanbergert,29863,Ryan Bergert,KCR,SP,26,38
ethanroberts,24930,Ethan Roberts,CHC,RP,28,39
michaeltonkin,10315,Michael Tonkin,FA,RP,36,39
ajpuk,19343,A.J. Puk,ARI,RP,31,33
colbythomas,31855,Colby Thomas,ATH,OF,25,32
albertsuarez,6175,Albert Suarez,BAL,RP,36,49
randydobnak,23798,Randy Dobnak,SEA,SP,31,68
dylansmith,30145,Dylan Smith,DET,RP,26,58
jorgelopez,14527,Jorge Lopez,FA,RP,33,21
bobbymiller,27483,Bobby Miller,LAD,RP,27,28
robzastryzny,15094,Rob Zastryzny,MIL,RP,34,58
lucassims,13470,Lucas Sims,FA,RP,32,39
bradlord,31972,Brad Lord,WSN,RP,26,41
jonnydeluca,26365,Jonny DeLuca,TBR,OF,27,21
brianvanbelle,27695,Brian Van Belle,TBR,SP,29,67
craigyoho,33248,Craig Yoho,MIL,RP,26,48
joeybart,21524,Joey Bart,PIT,C,29,14
cambooser,16061,Cam Booser,TBR,RP,34,71
alexcall,19296,Alex Call,LAD,OF,31,12
jaydenmurray,26482,Jayden Murray,HOU,RP,29,70
brysewilson,19990,Bryse Wilson,PHI,RP,28,46
tyronetaylor,13675,Tyrone Taylor,NYM,OF,32,15
nickraquet,20333,Nick Raquet,STL,RP,30,70
genesiscabrera,17490,Genesis Cabrera,PHI,RP,29,92
brandyngarcia,33568,Brandyn Garcia,ARI,RP,26,55
esteuryruiz,21780,Esteury Ruiz,MIA,OF,27,3
johnking,22051,John King,FA,RP,31,47
josequintana,11423,Jose Quintana,FA,SP,37,62
austinwarren,24937,Austin Warren,NYM,RP,30,44
bryanhoeing,26304,Bryan Hoeing,SDP,RP,29,78
miketauchman,15274,Mike Tauchman,FA,OF,35,18
cobymayo,28312,Coby Mayo,BAL,1B,24,16
juanburgos,27271,Juan Burgos,ARI,RP,26,52
carsonragsdale,27508,Carson Ragsdale,FA,SP,28,83
andrewwalters,33834,Andrew Walters,CLE,RP,25,91
johncurtiss,16128,John Curtiss,ARI,RP,33,46
andregranillo,29542,Andre Granillo,STL,RP,26,65
miguelcastro,15684,Miguel Castro,FA,RP,31,60
grantholman,30002,Grant Holman,ATH,RP,26,67
danemyers,22054,Dane Myers,CIN,OF,30,17
mikeclevinger,12808,Mike Clevinger,PIT,RP,35,52
willbenson,21853,Will Benson,CIN,OF,28,30
taylorwalls,22458,Taylor Walls,TBR,SS,29,6
jacksonkowar,21549,Jackson Kowar,MIN,RP,29,37
willwagner,29634,Will Wagner,SDP,3B,27,7
carsonfulmer,18311,Carson Fulmer,FA,RP,32,49
andrewhoffmann,29633,Andrew Hoffmann,ARI,RP,26,56
ryanburr,17536,Ryan Burr,FA,RP,32,43
nickfortes,21538,Nick Fortes,TBR,C,29,40
patrickmonteverde,29564,Patrick Monteverde,MIA,SP,28,44
samlong,25379,Sam Long,FA,RP,30,73
justinhagenman,21546,Justin Hagenman,NYM,RP,29,51
calebboushley,19736,Caleb Boushley,FA,RP,32,70
yosverzulueta,27765,Yosver Zulueta,SEA,RP,28,61
saurynlao,21922,Sauryn Lao,FA,RP,26,73
zachpop,20185,Zach Pop,PHI,RP,29,56
baileyhorn,27753,Bailey Horn,DET,RP,28,57
chaycemcdermott,29866,Chayce McDermott,BAL,RP,27,59
roansycontreras,22810,Roansy Contreras,COL,RP,26,59
rodderymunoz,25311,Roddery Munoz,HOU,RP,26,46
bowdenfrancis,20548,Bowden Francis,TOR,SP,30,44
griffincanning,19867,Griffin Canning,FA,SP,30,46
elvispeguero,21652,Elvis Peguero,FA,RP,29,47
nasimnunez,25979,Nasim Nunez,WSN,SS,25,26
nolanhoffman,23381,Nolan Hoffman,PHI,RP,28,47
hunterstrickland,7836,Hunter Strickland,FA,RP,37,60
miguelrojas,7802,Miguel Rojas,LAD,2B,37,72
alejandroosuna,27915,Alejandro Osuna,TEX,OF,23,19
colinpoche,19403,Colin Poche,FA,RP,32,83
sambachman,29754,Sam Bachman,LAA,RP,26,40
michaellorenzen,14843,Michael Lorenzen,COL,SP,34,24
joeross,12972,Joe Ross,FA,RP,33,41
tyadcock,25651,Ty Adcock,SDP,RP,29,52
michaelpetersen,20827,Michael Petersen,MIA,RP,32,49
joeylucchesi,19320,Joey Lucchesi,FA,RP,33,57
willklein,27787,Will Klein,LAD,RP,26,61
jansonjunk,23301,Janson Junk,MIA,SP,30,26
alanroden,31564,Alan Roden,MIN,OF,26,18
alekjacob,29628,Alek Jacob,SDP,RP,28,37
zakkent,25703,Zak Kent,TEX,RP,28,61
ryanjohnson,35325,Ryan Johnson,LAA,RP,23,32
chaselee,29574,Chase Lee,TOR,RP,27,53
eduarnielnunez,23162,Eduarniel Nunez,ATH,RP,27,54
tyfrance,17982,Ty France,FA,1B,31,2
javierassad,21741,Javier Assad,CHC,SP,28,72
carsonseymour,30084,Carson Seymour,SFG,RP,27,77
scottalexander,10591,Scott Alexander,FA,RP,36,54
jayviensandridge,25158,Jayvien Sandridge,LAA,RP,27,88
mitchspence,27707,Mitch Spence,ATH,RP,28,28
justinbruihl,23779,Justin Bruihl,STL,RP,29,47
tomoyukisugano,35321,Tomoyuki Sugano,FA,SP,36,19
kolbyallard,18694,Kolby Allard,CLE,RP,28,49
jacejung,31437,Jace Jung,DET,3B,25,17
alejandrocarrillo,26463,Alejandro Carrillo,NYM,RP,29,84
henrydavis,29617,Henry Davis,PIT,C,26,32
lancemccullersjr,14120,Lance McCullers Jr.,HOU,SP,32,43
joeygerber,24591,Joey Gerber,NYM,RP,29,55
kevinherget,15369,Kevin Herget,FA,RP,35,57
hunterdobbins,30240,Hunter Dobbins,STL,SP,26,40
taylersaucedo,17888,Tayler Saucedo,LAA,RP,33,60
orlandoribalta,26247,Orlando Ribalta,WSN,RP,28,64
paulgervase,31571,Paul Gervase,LAD,RP,26,65
luisangelacuna,26548,Luisangel Acuna,CHW,2B,24,0
clarkeschmidt,19899,Clarke Schmidt,NYY,SP,30,36
thomashatch,19264,Thomas Hatch,ARI,RP,31,43
yanquielfernandez,28552,Yanquiel Fernandez,NYY,DH,23,88
grantwolfram,21623,Grant Wolfram,BAL,RP,29,86
liamhendriks,3548,Liam Hendriks,FA,RP,37,31
robrefsnyder,13770,Rob Refsnyder,SEA,OF,35,30
andyibanez,18819,Andy Ibanez,ATH,3B,33,77
joseespada,21131,Jose Espada,BAL,RP,29,72
ryanbliss,29547,Ryan Bliss,SEA,2B,26,1
danielrobert,21229,Daniel Robert,PHI,RP,31,48
hunterstratton,23455,Hunter Stratton,ATL,RP,29,65
alanrangel,19524,Alan Rangel,PHI,SP,28,56
iangibaut,17871,Ian Gibaut,FA,RP,32,79
eastonmcgee,22176,Easton McGee,MIL,RP,28,50
kendallgraveman,15514,Kendall Graveman,FA,RP,35,49
rowdytellez,15679,Rowdy Tellez,FA,1B,31,44
chrispaddack,20099,Chris Paddack,FA,SP,30,40
joshrojas,19734,Josh Rojas,KCR,3B,32,40
luisperalta,24203,Luis Peralta,COL,RP,25,41
tjmcfarland,3237,T.J. McFarland,FA,RP,37,48
jakeirvin,21504,Jake Irvin,WSN,SP,29,27
gavinhollowell,25427,Gavin Hollowell,CHC,RP,28,46
eversonpereira,23695,Everson Pereira,CHW,OF,25,28
chrisflexen,13896,Chris Flexen,CHC,RP,31,77
collinsnider,23307,Collin Snider,FA,RP,30,52
colewilcox,27481,Cole Wilcox,SEA,RP,26,43
seanguenther,20045,Sean Guenther,FA,RP,30,73
manuelrodriguez,20794,Manuel Rodriguez,TBR,RP,29,39
santiagoespinal,19997,Santiago Espinal,CIN,3B,31,4
drewsommers,32026,Drew Sommers,DET,RP,25,51
luisgarcia2,23735,Luis Garcia,FA,SP,29,77
yilberdiaz,29271,Yilber Diaz,ARI,RP,25,45
davidhamilton,27531,David Hamilton,BOS,2B,28,17
dillontate,17796,Dillon Tate,FA,RP,32,9
paxtonschultz,25501,Paxton Schultz,WSN,RP,28,75
hunterfeduccia,23372,Hunter Feduccia,TBR,C,29,30
kevinalcantara,25971,Kevin Alcantara,CHC,OF,23,13
danaltavilla,16507,Dan Altavilla,FA,RP,33,58
rolddymunoz,27407,Rolddy Munoz,ATL,RP,26,70
andrepallante,26108,Andre Pallante,STL,SP,27,53
gabrielarias,22563,Gabriel Arias,CLE,SS,26,13
carloshernandez,22713,Carlos Hernandez,CLE,RP,29,40
jonberti,12037,Jon Berti,FA,3B,36,5
joseiglesias,10231,Jose Iglesias,FA,2B,36,7
garrettacton,27583,Garrett Acton,MIA,RP,28,52
dannyyoung,18439,Danny Young,ATL,RP,32,81
blakeperkins,19921,Blake Perkins,MIL,OF,29,16
