tjid,NameASCII,fgId,Name,Org,Pos,PlayerId,Age,_merge
yoshitsutsugo,Yoshi Tsutsugo,27459,,,,,,left_only
shogoakiyama,Shogo Akiyama,27461,,,,,,left_only
karlkauffmann,Karl Kauffmann,27488,,,,,,left_only
koheiarihara,Kohei Arihara,27505,,,,,,left_only
hyeonjongyang,Hyeon-Jong Yang,27513,,,,,,left_only
hirokazusawamura,Hirokazu Sawamura,27515,,,,,,left_only
jakepalisch,Jake Palisch,31598,,,,,,left_only
dayanviciedo,Dayan Viciedo,3917,,,,,,left_only
rafaeldolis,Rafael Dolis,4185,,,,,,left_only
nikturley,Nik Turley,5530,,,,,,left_only
neftalisoto,Neftali Soto,5663,,,,,,left_only
danielbard,Daniel Bard,7115,,,,,,left_only
mattdavidson,Matt Davidson,7226,,,,,,left_only
brianmoran,Brian Moran,9646,,,,,,left_only
traycethompson,Trayce Thompson,9952,,,,,,left_only
anthonyprato,Anthony Prato,sa1052903,,,,,,left_only
nickkahle,Nick Kahle,sa1115979,,,,,,left_only
marcussmith,Marcus Smith,sa1169620,,,,,,left_only
ryanward,Ryan Ward,sa1169792,,,,,,left_only
codymilligan,Cody Milligan,sa1169818,,,,,,left_only
mattlloyd,Matt Lloyd,sa1169978,,,,,,left_only
edgarbarclay,Edgar Barclay,sa1170012,,,,,,left_only
mattoneill,Matt O'Neill,sa1170279,,,,,,left_only
jackcushing,Jack Cushing,sa1170342,,,,,,left_only
treymcgough,Trey McGough,sa1170436,,,,,,left_only
chriskachmar,Chris Kachmar,sa1170503,,,,,,left_only
davidleal,David Leal,sa1171029,,,,,,left_only
ryananderson,Ryan Anderson,sa1172845,,,,,,left_only
rodolfomartinez,Rodolfo Martinez,sa206642,,,,,,left_only
luispacheco,Luis Pacheco,sa3002678,,,,,,left_only
juanmercedes,Juan Mercedes,sa3002818,,,,,,left_only
leonardotaveras,Leonardo Taveras,sa3002934,,,,,,left_only
luispalacios,Luis Palacios,sa3003021,,,,,,left_only
carlosromero,Carlos Romero,sa3003106,,,,,,left_only
eliezeralfonzo,Eliezer Alfonzo,sa3003262,,,,,,left_only
franciscoacuna,Francisco Acuna,sa3003291,,,,,,left_only
andersonbido,Anderson Bido,sa3004204,,,,,,left_only
blakeweiman,Blake Weiman,sa3004211,,,,,,left_only
mattseelinger,Matt Seelinger,sa3004483,,,,,,left_only
brodyrodning,Brody Rodning,sa3004591,,,,,,left_only
osvaldoberrios,Osvaldo Berrios,sa3004702,,,,,,left_only
bryceconley,Bryce Conley,sa3004704,,,,,,left_only
timnaughton,Tim Naughton,sa3004713,,,,,,left_only
samcarlson,Sam Carlson,sa3005015,,,,,,left_only
mattturner,Matt Turner,sa3005029,,,,,,left_only
adamhall,Adam Hall,sa3005077,,,,,,left_only
gabrielyanez,Gabriel Yanez,sa3005332,,,,,,left_only
leonardopestana,Leonardo Pestana,sa3005456,,,,,,left_only
jefersonmorales,Jeferson Morales,sa3005472,,,,,,left_only
keyberrodriguez,Keyber Rodriguez,sa3005488,,,,,,left_only
jesusvaldez,Jesus Valdez,sa3005492,,,,,,left_only
rainernunez,Rainer Nunez,sa3005551,,,,,,left_only
ronaikerpalma,Ronaiker Palma,sa3005624,,,,,,left_only
cruznoriega,Cruz Noriega,sa3005702,,,,,,left_only
viandelpena,Viandel Pena,sa3005775,,,,,,left_only
joshuacornielly,Joshua Cornielly,sa3005890,,,,,,left_only
wilkinramos,Wilkin Ramos,sa3006487,,,,,,left_only
alfredvega,Alfred Vega,sa3006495,,,,,,left_only
eddyyean,Eddy Yean,sa3006543,,,,,,left_only
brayancastillo,Brayan Castillo,sa3006544,,,,,,left_only
valentinlinarez,Valentin Linarez,sa3006557,,,,,,left_only
eduardovalencia,Eduardo Valencia,sa3006622,,,,,,left_only
jakeanchia,Jake Anchia,sa3006674,,,,,,left_only
gabemosser,Gabe Mosser,sa3006834,,,,,,left_only
devinmann,Devin Mann,sa3006869,,,,,,left_only
frainyerchavez,Frainyer Chavez,sa3007019,,,,,,left_only
chriswilliams,Chris Williams,sa3007028,,,,,,left_only
bobbymilacki,Bobby Milacki,sa3007216,,,,,,left_only
troywatson,Troy Watson,sa3007249,,,,,,left_only
rayneldelgado,Raynel Delgado,sa3007288,,,,,,left_only
clayhelvey,Clay Helvey,sa3007459,,,,,,left_only
mattkroon,Matt Kroon,sa3007502,,,,,,left_only
rubencardenas,Ruben Cardenas,sa3007505,,,,,,left_only
austinschulfer,Austin Schulfer,sa3007585,,,,,,left_only
jakehigginbotham,Jake Higginbotham,sa3007590,,,,,,left_only
seanboyle,Sean Boyle,sa3007618,,,,,,left_only
maxburt,Max Burt,sa3007631,,,,,,left_only
nickschnell,Nick Schnell,sa3007639,,,,,,left_only
justinjarvis,Justin Jarvis,sa3007775,,,,,,left_only
elihmarrero,Elih Marrero,sa3007822,,,,,,left_only
codyroberts,Cody Roberts,sa3007869,,,,,,left_only
brennendavis,Brennen Davis,sa3007876,,,,,,left_only
onixvega,Onix Vega,sa3008007,,,,,,left_only
kyledatres,Kyle Datres,sa3008029,,,,,,left_only
peytongray,Peyton Gray,sa3008046,,,,,,left_only
joshbreaux,Josh Breaux,sa3008051,,,,,,left_only
antoniojimenez,Antonio Jimenez,sa3008074,,,,,,left_only
hunterstovall,Hunter Stovall,sa3008181,,,,,,left_only
koreyholland,Korey Holland,sa3008249,,,,,,left_only
jaxbiggers,Jax Biggers,sa3008251,,,,,,left_only
joandersuarez,Joander Suarez,sa3008263,,,,,,left_only
andyweber,Andy Weber,sa3008282,,,,,,left_only
brendanhardy,Brendan Hardy,sa3008290,,,,,,left_only
jaylenpalmer,Jaylen Palmer,sa3008297,,,,,,left_only
lennytorresjr,Lenny Torres Jr.,sa3008329,,,,,,left_only
gustavorodriguez,Gustavo Rodriguez,sa3008438,,,,,,left_only
omarmartinez,Omar Martinez,sa3008573,,,,,,left_only
dayanfrias,Dayan Frias,sa3008768,,,,,,left_only
noelberthromero,Noelberth Romero,sa3008808,,,,,,left_only
joseramos,Jose Ramos,sa3008845,,,,,,left_only
omardelossantos,Omar De Los Santos,sa3008938,,,,,,left_only
carlosmendoza,Carlos Mendoza,sa3008944,,,,,,left_only
stivenacevedo,Stiven Acevedo,sa3008952,,,,,,left_only
frankrodriguez,Frank Rodriguez,sa3009330,,,,,,left_only
gabrieljackson,Gabriel Jackson,sa3009463,,,,,,left_only
carlospena,Carlos Pena,sa3009519,,,,,,left_only
andrewquezada,Andrew Quezada,sa3009858,,,,,,left_only
lukeritter,Luke Ritter,sa3009878,,,,,,left_only
stephenjones,Stephen Jones,sa3009935,,,,,,left_only
chasesolesky,Chase Solesky,sa3009940,,,,,,left_only
luismoreno,Luis Moreno,sa3009950,,,,,,left_only
kodyhoese,Kody Hoese,sa3010021,,,,,,left_only
jackdunn,Jack Dunn,sa3010029,,,,,,left_only
jtarruda,J.T. Arruda,sa3010036,,,,,,left_only
andrewmisiaszek,Andrew Misiaszek,sa3010118,,,,,,left_only
