,name,name_ascii,fg_id,MLBAMID,espn_id,tj_id
534,Steven Zobac,Steven Zobac,sa3020875,,5263497,stevenzobac
536,Brandon Birdsell,Brandon Birdsell,sa3020797,,5266091,brandonbirdsell
538,Alejandro Carrillo,Alejandro Carrillo,26463,,5270370,alejandrocarrillo
540,Aroon Escobar,Aroon Escobar,sa3018463,,5271848,aroonescobar
541,Eduardo Quintero,Eduardo Quintero,sa3021208,,5272151,eduardoquintero
542,Franklin Arias,Franklin Arias,sa3021845,,5273064,franklinarias
543,Eduardo Tait,Eduardo Tait,sa3022162,,5273117,eduardotait
546,Ethan Conrad,Ethan Conrad,sa3029266,,5276362,ethanconrad
547,Andrew Salas,Andrew Salas,sa3067045,,5282180,andrewsalas
548,Rainiel Rodriguez,Rainiel Rodriguez,sa3023987,,5289250,rainielrodriguez
549,Josuar De Jesus Gonzalez,Josuar De Jesus Gonzalez,sa3067675,,5289843,josuardejesusgonzalez
550,Ethan Holliday,Ethan Holliday,sa3069100,,5293136,ethanholliday
551,Eli Willits,Eli Willits,sa3069164,,5293140,eliwillits
552,Kayson Cunningham,Kayson Cunningham,sa3069148,,5293149,kaysoncunningham
553,Kruz Schoolcraft,Kruz Schoolcraft,sa3069203,,5293150,kruzschoolcraft
554,Gavin Fien,Gavin Fien,sa3069166,,5293155,gavinfien
555,Tate Southisene,Tate Southisene,sa3069150,,5293161,tatesouthisene
556,Dax Kilby,Dax Kilby,sa3069080,,5293184,daxkilby
557,Ronny Cruz,Ronny Cruz,sa3067336,,5295855,ronnycruz
558,Adam Serwinowski,Adam Serwinowski,sa3020626,,5295857,adamserwinowski
559,Kendry Rojas,Kendry Rojas,sa3016746,,5296012,kendryrojas
560,Edward Florentino,Edward Florentino,sa3023944,,5296638,edwardflorentino
561,Nate George,Nate George,sa3067128,,5303972,nategeorge
562,Dylan Ross,Dylan Ross,sa3025659,,5310960,dylanross
565,Jose Franco,Jose Franco,sa3008714,,5332124,josefranco
566,Yordanny Monegro,Yordanny Monegro,sa3015476,,5332366,yordannymonegro
567,Yorman Gómez,Yorman Gomez,sa3015931,,5332448,yormangomez
568,Harold Rivas,Harold Rivas,sa3067705,,5332622,haroldrivas
569,Dorian Soto,Dorian Soto,sa3067678,,5332624,doriansoto
570,Alimber Santa,Alimber Santa,sa3015478,,5332989,alimbersanta
571,Wilber Dotel,Wilber Dotel,sa3015163,,5332991,wilberdotel
572,Nate Payne,Nate Payne,sa3067390,,5332992,natepayne
573,Gerelmi Maldonado,Gerelmi Maldonado,sa3016018,,5332993,gerelmimaldonado
575,Jose Olivares,Jose Olivares,sa3016267,,5332996,joseolivares
577,Miguel Mendez,Miguel Mendez,sa3015506,,5332998,miguelmendez
578,Ixan Henderson,Ixan Henderson,sa3022953,,5333206,ixanhenderson
579,Devin Saltiban,Devin Saltiban,sa3022827,,5333211,devinsaltiban
580,Ivan Luciano,Ivan Luciano,sa3067397,,5333212,ivanluciano
581,Luis Garcia,Luis Garcia,sa3031942,,41257,luisgarcia1
