,name,name_ascii,fg_id,MLBAMID,espn_id,tj_id
133,Tanner Burns,Tanner Burns,sa3014451,,4298587,tannerburns
134,Brendan Cellucci,Brendan Cellucci,sa3011710,,4300831,brendancellucci
135,Tyler Mattison,Tyler Mattison,sa3018117,,4300972,tylermattison
136,Luke Waddell,Luke Waddell,sa3017075,,4315289,lukewaddell
137,Austin Love,Austin Love,sa3017609,,4326807,austinlove
138,Brendan Beck,Brendan Beck,sa3020680,,4345190,brendanbeck
139,Jacob Wallace,Jacob Wallace,sa3010374,,4345696,jacobwallace
141,Stevie Emanuels,Stevie Emanuels,sa3014698,,4346328,stevieemanuels
143,Max Ferguson,Max Ferguson,sa3016819,,4413977,maxferguson
144,Tanner Kohlhepp,Tanner Kohlhepp,sa3022238,,4413980,tannerkohlhepp
145,Eric Cerantola,Eric Cerantola,sa3017914,,4413997,ericcerantola
146,Quincy Hamilton,Quincy Hamilton,sa3017215,,4414180,quincyhamilton
147,Jud Fabian,Jud Fabian,sa3019942,,4414207,judfabian
150,Hudson Haskin,Hudson Haskin,sa3014449,,4415854,hudsonhaskin
151,Tyler McDonough,Tyler McDonough,sa3016869,,4416280,tylermcdonough
152,Luca Tresh,Luca Tresh,sa3017394,,4416289,lucatresh
153,Wade Stauss,Wade Stauss,sa3017000,,4416478,wadestauss
154,Ethan Wilson,Ethan Wilson,sa3060939,,4417251,ethanwilson
155,Cody Morissette,Cody Morissette,sa3017158,,4417804,codymorissette
156,Ryan Jensen,Ryan Jensen,sa3011496,,4418199,ryanjensen
157,Alex Binelas,Alex Binelas,sa3017044,,4418681,alexbinelas
159,Isaac Coffey,Isaac Coffey,sa3020222,,4421205,isaaccoffey
160,RJ Petit,RJ Petit,sa3017848,,4421878,rjpetit
162,Aaron Sabato,Aaron Sabato,sa3014494,,4424246,aaronsabato
163,Drew Swift,Drew Swift,sa3017281,,4424283,drewswift
164,Nate Lavender,Nate Lavender,sa3017917,,4424442,natelavender
166,Will Bednar,Will Bednar,sa3017844,,4619495,willbednar
169,Nathan Hickey,Nathan Hickey,sa3017398,,4621034,nathanhickey
170,Alex McFarlane,Alex McFarlane,sa3020633,,4621422,alexmcfarlane
171,Henry Williams,Henry Williams,sa3020901,,4622936,henrywilliams
172,Ryan Cusick,Ryan Cusick,sa3017385,,4623349,ryancusick
173,Gabriel Hughes,Gabriel Hughes,sa3020661,,4634930,gabrielhughes
174,Justin Boyd,Justin Boyd,sa3020123,,4635325,justinboyd
175,Cooper Hjerpe,Cooper Hjerpe,sa3020736,,4635332,cooperhjerpe
176,Reed Trimble,Reed Trimble,sa3017180,,4644739,reedtrimble
177,Peyton Alford,Peyton Alford,sa3016843,,4669438,peytonalford
180,Beck Way,Beck Way,sa3014462,,4683369,beckway
181,Yohandy Morales,Yohandy Morales,sa3022672,,4683376,yohandymorales
182,Jackson Miller,Jackson Miller,sa3065575,,4683380,jacksonmiller
183,Kevin Parada,Kevin Parada,sa3020575,,4683392,kevinparada
184,Andre Jackson,Andre Jackson,21298,,4684364,andrejackson
187,Garrett Stallings,Garrett Stallings,sa3014457,,4686059,garrettstallings
189,Colin Barber,Colin Barber,sa3010696,,4717802,colinbarber
191,Jagger Haynes,Jagger Haynes,sa3020876,,4717838,jaggerhaynes
192,Alex Santos II,Alex Santos II,sa3014684,,4717902,alexsantosii
