name,pos_string,player_mlb_org,player_age,abbrev,contract_type,contract_years,contract_dollars,fp_atc,fp_alt,alt-atc,fp_avg,fp_e,atc-e
Miguel Amaya,C/UTIL,CHC,27.0,,,,,181.090995,166.50976599999998,-14.581229000000008,173.8003805,141.0,40.09099499999999
Connor Wong,C/UTIL,BOS,30.0,ORl,aaa_opt,1.0,0.0,139.23779199999998,141.77910999999995,2.5413179999999898,140.50845099999998,139.0,0.2377919999999846
Christian Vazquez,C/UTIL,FA,35.0,,,,,105.264727,108.29725249999998,3.0325254999999918,106.78098975,130.0,-24.735273000000007
Gary Sanchez,C/UTIL,FA,33.0,,,,,144.323201,141.538640393,-2.784560607000003,142.9309206965,128.0,16.32320100000001
Jose Trevino,C/UTIL,CIN,33.0,,,,,155.67482,151.3544028,-4.3204172000000085,153.5146114,120.0,35.67482000000001
Riley Adams,C/UTIL,WSN,30.0,,,,,62.207582,60.771591,-1.4359910000000011,61.4895865,116.0,-53.792418
Braxton Fulford,C/UTIL,COL,27.0,,,,,139.56926,137.97035,-1.5989100000000178,138.76980500000002,108.0,31.56926000000001
James McCann,C/UTIL,ARI,36.0,,,,,122.051291,117.80638,-4.244910999999988,119.9288355,106.0,16.051290999999992
Tyler Heineman,C/UTIL,TOR,35.0,,,,,84.029046,77.802713,-6.226332999999997,80.91587949999999,99.0,-14.970954000000006
Jacob Stallings,C/UTIL,FA,36.0,,,,,56.9596679,55.47856518,-1.4811027199999955,56.21911654,88.0,-31.0403321
Austin Wynns,C/UTIL,ATH,35.0,,,,,95.7918897,90.096842,-5.695047700000018,92.94436585,85.0,10.791889700000011
J.C. Escarra,C/UTIL,NYY,31.0,,,,,109.04138000000002,100.444536,-8.596844000000019,104.74295800000002,75.0,34.04138000000002
Austin Hedges,C/UTIL,CLE,33.0,,,,,74.7342838,74.71250749999999,-0.0217763000000132,74.72339564999999,69.0,5.7342838
Yohel Pozo,C/UTIL,STL,29.0,,,,,103.1456421,91.81972564,-11.325916460000002,97.48268387,69.0,34.1456421
Jeferson Quero,C/UTIL,,,,,,,42.0070842,42.52420599999999,0.5171217999999911,42.2656451,62.0,-19.9929158
Andrew Knizner,C/UTIL,SEA,31.0,,,,,68.691007,64.22021199999999,-4.47079500000001,66.4556095,59.0,9.691007
Drew Millas,C/UTIL,WSN,28.0,,,,,84.645418,79.44091599999999,-5.204502000000019,82.043167,55.0,29.645418000000006
Jimmy Crooks,C/UTIL,STL,24.0,,,,,59.864383,60.760212,0.8958290000000062,60.3122975,55.0,4.864382999999997
Jhonny Pereda,C/UTIL,SEA,30.0,,,,,0.0,9.96645256,0.0,0.0,52.0,-52.0
Korey Lee,C/UTIL,CHW,27.0,,,,,62.6176901,61.216738,-1.4009520999999978,61.91721405,52.0,10.617690099999995
Rafael Marchan,C/UTIL,PHI,27.0,,,,,89.129528,84.837987,-4.291540999999995,86.9837575,49.0,40.12952799999999
Cesar Salazar,C/UTIL,HOU,30.0,,,,,80.03058,75.61064300000001,-4.41993699999999,77.82061150000001,47.0,33.03058
Ben Rortvedt,C/UTIL,LAD,28.0,,,,,18.7959725,18.450021300000003,-0.3459511999999982,18.622996900000004,47.0,-28.2040275
Tom Murphy,C/UTIL,,,,,,,61.100686,62.109825,1.009139000000005,61.6052555,46.0,15.100685999999996
Joe Mack,C/UTIL,,,,,,,150.677982,145.322815,-5.355167000000023,148.00039850000002,43.0,107.677982
Mickey Gasper,C/UTIL,BOS,30.0,,,,,23.8278569,23.0760502,-0.7518066999999959,23.45195355,42.0,-18.172143100000003
Jesus Rodriguez,3B/C/UTIL,,,,,,,23.9546316,24.410343,0.4557113999999984,24.1824873,41.0,-17.0453684
Alex Jackson,C/UTIL,MIN,30.0,,,,,33.2989122,30.8684383,-2.4304738999999955,32.08367525,40.0,-6.701087800000003
Jonah Heim,C/UTIL,FA,31.0,RW,aaa_opt,1.0,0.0,149.805111,149.0542037,-0.7509073000000228,149.42965735,40.0,109.805111
Matt Thaiss,C/UTIL,FA,31.0,,,,,0.0,7.2719332,0.0,0.0,39.0,-39.0
Kyle McCann,C/UTIL,,,,,,,,,,,,
Josue Briceno,C/1B/UTIL,,,BS,aa,,0.0,,,,,,
Willie MacIver,C/UTIL,TEX,29.0,,,,,14.0721351,14.177790500000002,0.1056554000000016,14.124962800000002,38.0,-23.9278649
Reese McGuire,C/UTIL,MIL,31.0,,,,,78.227444,76.61386300000001,-1.6135809999999964,77.42065350000001,38.0,40.227444000000006
Luke Maile,C/UTIL,FA,35.0,,,,,45.8190153,44.35911370000001,-1.459901599999995,45.089064500000006,37.0,8.819015300000004
Garrett Stubbs,C/UTIL,,,,,,,14.5610955,14.211136000000002,-0.3499594999999971,14.38611575,35.0,-20.4389045
Daniel Susac,C/UTIL,,,,,,,53.354407,53.94015199999999,0.5857449999999886,53.6472795,33.0,20.354407
Maverick Handley,C/UTIL,BAL,28.0,,,,,0.0,6.1380725,0.0,0.0,32.0,-32.0
Drew Romo,C/UTIL,,,,,,,15.365191300000005,15.2387571,-0.1264342000000038,15.3019742,31.0,-15.634808699999995
Brian Navarreto,C/UTIL,MIA,31.0,,,,,,,,,,
Will Banfield,C/UTIL,CIN,26.0,,,,,,,,,,
Hayden Senger,C/UTIL,NYM,29.0,,,,,0.0,8.7626769,0.0,0.0,29.0,-29.0
Tomas Nido,C/UTIL,FA,32.0,,,,,0.0,10.0554861,0.0,0.0,28.0,-28.0
Jason Delay,C/UTIL,,,,,,,0.0,8.310521,0.0,0.0,27.0,-27.0
Austin Barnes,C/UTIL,NYM,36.0,,,,,21.9482852,21.3970181,-0.551267100000004,21.67265165,25.0,-3.051714799999999
Dom Nunez,C/UTIL,CLE,31.0,,,,,0.0,4.9189639,0.0,0.0,19.0,-19.0
Jorge Alfaro,C/UTIL,KCR,33.0,,,,,0.0,10.7279863,0.0,0.0,19.0,-19.0
Cooper Ingle,C/UTIL,,,,,,,,,,,,
Aramis Garcia,C/UTIL,,,,,,,,,,,,
Chad Wallach,C/UTIL,,,,,,,,,,,,
Luca Tresh,C/UTIL,,,,,,,,,,,,
Sandy Leon,C/UTIL,ATL,37.0,,,,,23.4486572,21.9133419,-1.5353153000000006,22.68099955,15.0,8.4486572
Sebastian Rivero,C/UTIL,LAA,27.0,,,,,12.4278205,11.8713484,-0.5564720999999988,12.14958445,12.0,0.4278204999999992
Chuckie Robinson,C/UTIL,,,,,,,,,,,,
David Rodriguez,C/UTIL,,,,,,,,,,,,
Rainiel Rodriguez,C/UTIL,,,,,,,,,,,,
Eduardo Tait,C/UTIL,,,,,,,,,,,,
Ronaldo Hernandez,C/UTIL,,,,,,,,,,,,
Caden Bodine,C/UTIL,,,,,,,,,,,,
Carlos Martinez,C/UTIL,,,,,,,,,,,,
Jancel Villarroel,C/OF/UTIL,,,,,,,,,,,,
Ivan Luciano,C/UTIL,,,,,,,,,,,,
Yohendry Sanchez,C/UTIL,,,,,,,,,,,,
Wade Stauss,C/UTIL,,,,,,,,,,,,
Franklin Rojas,C/UTIL,,,,,,,,,,,,
Luke Stevenson,C/UTIL,,,,,,,,,,,,
Caleb Lomavita,C/UTIL,,,,,,,,,,,,
Walker Janek,C/UTIL,,,,,,,,,,,,
David Banuelos,C/UTIL,,,,,,,,,,,,
Carlos Linarez,C/UTIL,,,,,,,0.0,1.5,0.0,0.0,0.0,0.0
Yovanny Rodriguez,C/UTIL,,,,,,,,,,,,
Miguel Palma,C/UTIL,,,,,,,,,,,,
Leonardo Bernal,C/UTIL,,,,,,,,,,,,
