name,pos_string,player_mlb_org,player_age,abbrev,contract_type,contract_years,contract_dollars,fp_atc,fp_alt,alt-atc,fp_avg,fp_e,atc-e
Nick Lodolo,SP,CIN,28.0,DET,arb1,,0.0,372.6053,410.0,37.3947,391.30265,410.5,-37.8947
Jack Flaherty,SP,DET,30.0,,,,,413.73378,447.5,33.766219999999976,430.61689,410.5,3.2337800000000243
Jose Berrios,SP,TOR,32.0,,,,,270.34101,253.5,-16.841009999999983,261.920505,409.5,-139.15899000000002
Matthew Boyd,SP,CHC,35.0,SZ,aaa_opt,1.0,0.0,395.67112,424.5,28.828880000000023,410.08556,408.0,-12.328880000000026
Noah Cameron,SP,KCR,26.0,,,,,329.882865,318.0,-11.88286499999998,323.9414325,405.5,-75.61713500000002
Brady Singer,SP,CIN,29.0,BS,contract,1.0,3.0,399.12389,418.0,18.87611000000004,408.561945,404.5,-5.37611000000004
Chase Burns,SP,CIN,23.0,RW,aa,,0.0,362.14963,383.5,21.35037,372.824815,402.5,-40.35037
Kris Bubic,SP,KCR,28.0,YB,aa,,0.0,336.821222,321.5,-15.321221999999976,329.160611,397.0,-60.17877800000002
Edward Cabrera,SP,CHC,28.0,BS,pre_arb,2.0,1.0,345.01359500000007,400.5,55.486404999999934,372.75679750000006,395.5,-50.486404999999934
Ian Seymour,SP/RP,TBR,27.0,,,,,254.261775,240.5,-13.761774999999972,247.3808875,394.0,-139.73822500000003
Brandon Pfaadt,SP,ARI,27.0,YB,arb1,,0.0,396.02526,418.0,21.97474,407.01263,393.5,2.525260000000003
Shota Imanaga,SP,CHC,32.0,CS,contract,1.0,2.35,382.69276,365.0,-17.69276000000002,373.84638,389.5,-6.807239999999979
Brayan Bello,SP,BOS,27.0,YB,arb1,,0.0,358.71516500000007,349.5,-9.21516500000007,354.10758250000003,387.5,-28.78483499999993
Jacob Misiorowski,SP,MIL,24.0,WCS,aa,,0.0,375.89874,389.0,13.101260000000025,382.44937,386.0,-10.101260000000025
Jack Leiter,SP,TEX,26.0,CS,contract,5.0,1.0,377.18882,390.5,13.311180000000036,383.84441,385.5,-8.311180000000036
Clay Holmes,SP,NYM,33.0,YB,contract,1.0,3.4,354.8429300000001,355.5,0.6570699999999192,355.171465,385.5,-30.65706999999992
Shane Smith,SP,CHW,26.0,,,,,369.949705,379.0,9.050295000000006,374.4748525,385.5,-15.550295000000006
Aaron Nola,SP,PHI,33.0,,,,,405.18582,450.5,45.31418000000002,427.84291,384.5,20.68581999999998
Michael King,SP,SDP,31.0,,,,,419.26892,471.0,51.73108000000002,445.13446,384.5,34.76891999999998
Zack Littell,SP,FA,30.0,CS,aaa_opt,1.0,0.0,323.91590999999994,362.5,38.58409000000006,343.207955,383.0,-59.08409000000006
Trevor Rogers,SP,BAL,28.0,,,,,373.08207,401.5,28.417930000000013,387.291035,382.0,-8.917930000000013
David Peterson,SP,NYM,30.0,BS,aaa_opt,1.0,0.0,375.420645,409.5,34.079354999999964,392.4603225,379.5,-4.079354999999964
Nolan McLean,SP,NYM,24.0,,,,,394.81313,387.0,-7.813130000000001,390.906565,379.0,15.81313
Carlos Rodon,SP,NYY,33.0,,,,,391.88328,414.0,22.116720000000043,402.94164,374.5,17.383279999999957
Jeffrey Springs,SP,ATH,33.0,,,,,373.153745,361.5,-11.653745000000017,367.3268725,372.5,0.6537450000000149
Zack Wheeler,SP,PHI,36.0,,,,,347.535245,375.0,27.464755000000025,361.2676225,369.5,-21.964755000000025
Justin Steele,SP,CHC,30.0,,,,,199.41628,215.5,16.083720000000028,207.45814,367.0,-167.58372000000003
Chad Patrick,SP,MIL,27.0,,,,,292.44124,368.5,76.05876,330.47062,366.0,-73.55876
Shane Baz,SP,BAL,27.0,CS,aa,,0.0,385.7290600000001,430.5,44.77093999999988,408.11453000000006,365.5,20.22906000000012
Lucas Giolito,SP,FA,31.0,CS,pre_arb,2.0,1.0,311.934995,338.0,26.065004999999985,324.96749750000004,364.0,-52.06500499999999
Nick Martinez,SP/RP,FA,35.0,,,,,299.571875,336.0,36.42812500000002,317.7859375,363.5,-63.92812500000002
Tyler Glasnow,SP,LAD,32.0,,,,,362.51985,400.5,37.98015000000004,381.509925,363.5,-0.9801500000000374
Chris Bassitt,SP,FA,37.0,,,,,355.471225,383.5,28.028775,369.4856125,360.5,-5.028774999999996
Tatsuya Imai,SP,,,,,,,347.5724949999999,374.0,26.42750500000011,360.7862475,358.5,-10.92750500000011
Joe Musgrove,SP,,,,,,,337.840945,409.0,71.15905500000002,373.4204725,358.5,-20.659055000000023
Luis Severino,SP,ATH,32.0,,,,,364.5084000000001,396.0,31.49159999999995,380.2542,357.0,7.5084000000000515
Cody Ponce,SP,,,,,,,332.08919,393.0,60.910810000000026,362.544595,356.5,-24.410810000000023
Eduardo Rodriguez,SP,ARI,33.0,ORl,aaa_opt,1.0,0.0,316.6266800000001,312.5,-4.126680000000079,314.56334000000004,354.5,-37.87331999999992
Bubba Chandler,SP,PIT,23.0,ORl,aa,,0.0,335.381244,368.5,33.11875600000002,351.940622,354.0,-18.61875600000002
